"Zentral","0/-/-","","","","","Auto"
"Wohnung","0/0/-","","","","","Auto"
"Wohnung Alles Aus","0/0/1","","","","DPST-1-1","Auto"
"Masteruhrzeit","0/0/2","","","","DPST-10-1","Auto"
"Masterdatum","0/0/3","","","","DPST-10-1","Auto"
"Datum/Zeit anfordern","0/0/4","","","","","Auto"
"Wohnzimmer","0/1/-","","","","","Auto"
"Wohnzimmer Ein/Aus","0/1/0","","","","DPST-1-1","Auto"
"Beleuchtung","1/-/-","","","","","Auto"
"Flur","1/0/-","","","","","Auto"
"Hand Flur Schalten","1/0/0","","","","DPST-1-1","Auto"
"Bewegung Flur schalten","1/0/1","","","","DPST-1-1","Auto"
"Abstellkammer","1/1/-","","","","","Auto"
"Abstellkammer schalten","1/1/0","","","","DPST-1-1","Auto"
"Wohnzimmer","1/2/-","","","","","Auto"
"Bel. Couch links schalten","1/2/0","","","","DPT-1","Auto"
"Couch links dimmen","1/2/1","","","","DPST-3-7","Auto"
"RM links Dimmaktor","1/2/2","","","","DPST-1-1","Auto"
"Bel. Couch rechts schalten","1/2/3","","","","DPT-1","Auto"
"Couch rechts dimmen","1/2/4","","","","DPST-3-7","Auto"
"RM rechts Dimmaktor","1/2/5","","","","DPST-1-1","Auto"
"Bel. Couch zentral schalten","1/2/6","","","","DPST-1-1","Auto"
"Couch zentral dimmen","1/2/7","","","","DPST-3-7","Auto"
"RM zentral Dimmaktor","1/2/8","","","","DPST-1-1","Auto"
"rechts couch dimmwert","1/2/9","","","","DPT-5","Auto"
"Steckdosen","2/-/-","","","","","Auto"
"Wohnzimmer","2/0/-","","","","","Auto"
"Schreibtisch Stckd. schalten","2/0/0","","","","DPST-1-1","Auto"
"RM SchreibtischStckd.","2/0/1","","","","DPST-1-1","Auto"
"Fenster Stckd. schalten","2/0/2","","","","DPST-1-1","Auto"
"RM Fenster Stckd.","2/0/3","","","","DPST-1-1","Auto"
"Fernseher Stckd. schalten","2/0/4","","","","DPST-1-1","Auto"
"RM Fernseher Stckd.","2/0/5","","","","DPST-1-1","Auto"
"Szenen","3/-/-","","","","","Auto"
"Wohnzimmer","3/0/-","","","","","Auto"
"Stckd. Fernseher und Fenster","3/0/0","","","","DPST-1-1","Auto"
